inputOrderId,code,xmlPath,shortName,categoricalValue,isActionable,dataType,importanceRank,stdev
14,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_03,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_03,,,,,,
15,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_04,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_04,,,,,,
16,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_05,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_05,,,,,,
17,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_06,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_06,,,,,,
18,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_07,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_07,,,,,,
19,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_08,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_08,,,,,,
20,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_09,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_09,,,,,,
21,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_10,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_10,,,,,,
22,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_11,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_11,,,,,,
23,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_12,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_12,,,,,,
24,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_01,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_01,,,,,,
25,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_02,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_02,,,,,,
26,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_03,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_03,,,,,,
27,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_04,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_04,,,,,,
28,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_05,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_05,,,,,,
29,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_06,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_06,,,,,,
30,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_07,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_07,,,,,,
31,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_08,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_08,,,,,,
32,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_09,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_09,,,,,,
33,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_10,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_10,,,,,,
34,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_11,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_11,,,,,,
35,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_12,WEATHER_DIFFUSE_SOLAR_RADIATION_MIN_12,,,,,,
36,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_01,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_01,,,,,,
37,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_02,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_02,,,,,,
38,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_03,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_03,,,,,,
39,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_04,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_04,,,,,,
40,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_05,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_05,,,,,,
41,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_06,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_06,,,,,,
42,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_07,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_07,,,,,,
43,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_08,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_08,,,,,,
44,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_09,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_09,,,,,,
45,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_10,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_10,,,,,,
46,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_11,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_11,,,,,,
47,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_12,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_12,,,,,,
48,WEATHER_DIRECT_SOLAR_RADIATION_AVG_01,WEATHER_DIRECT_SOLAR_RADIATION_AVG_01,,,,,,
49,WEATHER_DIRECT_SOLAR_RADIATION_AVG_02,WEATHER_DIRECT_SOLAR_RADIATION_AVG_02,,,,,,
50,WEATHER_DIRECT_SOLAR_RADIATION_AVG_03,WEATHER_DIRECT_SOLAR_RADIATION_AVG_03,,,,,,
51,WEATHER_DIRECT_SOLAR_RADIATION_AVG_04,WEATHER_DIRECT_SOLAR_RADIATION_AVG_04,,,,,,
52,WEATHER_DIRECT_SOLAR_RADIATION_AVG_05,WEATHER_DIRECT_SOLAR_RADIATION_AVG_05,,,,,,
53,WEATHER_DIRECT_SOLAR_RADIATION_AVG_06,WEATHER_DIRECT_SOLAR_RADIATION_AVG_06,,,,,,
54,WEATHER_DIRECT_SOLAR_RADIATION_AVG_07,WEATHER_DIRECT_SOLAR_RADIATION_AVG_07,,,,,,
55,WEATHER_DIRECT_SOLAR_RADIATION_AVG_08,WEATHER_DIRECT_SOLAR_RADIATION_AVG_08,,,,,,
56,WEATHER_DIRECT_SOLAR_RADIATION_AVG_09,WEATHER_DIRECT_SOLAR_RADIATION_AVG_09,,,,,,
57,WEATHER_DIRECT_SOLAR_RADIATION_AVG_10,WEATHER_DIRECT_SOLAR_RADIATION_AVG_10,,,,,,
58,WEATHER_DIRECT_SOLAR_RADIATION_AVG_11,WEATHER_DIRECT_SOLAR_RADIATION_AVG_11,,,,,,
59,WEATHER_DIRECT_SOLAR_RADIATION_AVG_12,WEATHER_DIRECT_SOLAR_RADIATION_AVG_12,,,,,,
60,WEATHER_DIRECT_SOLAR_RADIATION_MAX_01,WEATHER_DIRECT_SOLAR_RADIATION_MAX_01,,,,,,
61,WEATHER_DIRECT_SOLAR_RADIATION_MAX_02,WEATHER_DIRECT_SOLAR_RADIATION_MAX_02,,,,,,
62,WEATHER_DIRECT_SOLAR_RADIATION_MAX_03,WEATHER_DIRECT_SOLAR_RADIATION_MAX_03,,,,,,
63,WEATHER_DIRECT_SOLAR_RADIATION_MAX_04,WEATHER_DIRECT_SOLAR_RADIATION_MAX_04,,,,,,
64,WEATHER_DIRECT_SOLAR_RADIATION_MAX_05,WEATHER_DIRECT_SOLAR_RADIATION_MAX_05,,,,,,
65,WEATHER_DIRECT_SOLAR_RADIATION_MAX_06,WEATHER_DIRECT_SOLAR_RADIATION_MAX_06,,,,,,
66,WEATHER_DIRECT_SOLAR_RADIATION_MAX_07,WEATHER_DIRECT_SOLAR_RADIATION_MAX_07,,,,,,
67,WEATHER_DIRECT_SOLAR_RADIATION_MAX_08,WEATHER_DIRECT_SOLAR_RADIATION_MAX_08,,,,,,
68,WEATHER_DIRECT_SOLAR_RADIATION_MAX_09,WEATHER_DIRECT_SOLAR_RADIATION_MAX_09,,,,,,
69,WEATHER_DIRECT_SOLAR_RADIATION_MAX_10,WEATHER_DIRECT_SOLAR_RADIATION_MAX_10,,,,,,
70,WEATHER_DIRECT_SOLAR_RADIATION_MAX_11,WEATHER_DIRECT_SOLAR_RADIATION_MAX_11,,,,,,
71,WEATHER_DIRECT_SOLAR_RADIATION_MAX_12,WEATHER_DIRECT_SOLAR_RADIATION_MAX_12,,,,,,
72,WEATHER_DIRECT_SOLAR_RADIATION_MIN_01,WEATHER_DIRECT_SOLAR_RADIATION_MIN_01,,,,,,
73,WEATHER_DIRECT_SOLAR_RADIATION_MIN_02,WEATHER_DIRECT_SOLAR_RADIATION_MIN_02,,,,,,
74,WEATHER_DIRECT_SOLAR_RADIATION_MIN_03,WEATHER_DIRECT_SOLAR_RADIATION_MIN_03,,,,,,
75,WEATHER_DIRECT_SOLAR_RADIATION_MIN_04,WEATHER_DIRECT_SOLAR_RADIATION_MIN_04,,,,,,
76,WEATHER_DIRECT_SOLAR_RADIATION_MIN_05,WEATHER_DIRECT_SOLAR_RADIATION_MIN_05,,,,,,
77,WEATHER_DIRECT_SOLAR_RADIATION_MIN_06,WEATHER_DIRECT_SOLAR_RADIATION_MIN_06,,,,,,
78,WEATHER_DIRECT_SOLAR_RADIATION_MIN_07,WEATHER_DIRECT_SOLAR_RADIATION_MIN_07,,,,,,
79,WEATHER_DIRECT_SOLAR_RADIATION_MIN_08,WEATHER_DIRECT_SOLAR_RADIATION_MIN_08,,,,,,
80,WEATHER_DIRECT_SOLAR_RADIATION_MIN_09,WEATHER_DIRECT_SOLAR_RADIATION_MIN_09,,,,,,
81,WEATHER_DIRECT_SOLAR_RADIATION_MIN_10,WEATHER_DIRECT_SOLAR_RADIATION_MIN_10,,,,,,
82,WEATHER_DIRECT_SOLAR_RADIATION_MIN_11,WEATHER_DIRECT_SOLAR_RADIATION_MIN_11,,,,,,
83,WEATHER_DIRECT_SOLAR_RADIATION_MIN_12,WEATHER_DIRECT_SOLAR_RADIATION_MIN_12,,,,,,
84,WEATHER_DIRECT_SOLAR_RADIATION_VAR_01,WEATHER_DIRECT_SOLAR_RADIATION_VAR_01,,,,,,
85,WEATHER_DIRECT_SOLAR_RADIATION_VAR_02,WEATHER_DIRECT_SOLAR_RADIATION_VAR_02,,,,,,
86,WEATHER_DIRECT_SOLAR_RADIATION_VAR_03,WEATHER_DIRECT_SOLAR_RADIATION_VAR_03,,,,,,
87,WEATHER_DIRECT_SOLAR_RADIATION_VAR_04,WEATHER_DIRECT_SOLAR_RADIATION_VAR_04,,,,,,
88,WEATHER_DIRECT_SOLAR_RADIATION_VAR_05,WEATHER_DIRECT_SOLAR_RADIATION_VAR_05,,,,,,
89,WEATHER_DIRECT_SOLAR_RADIATION_VAR_06,WEATHER_DIRECT_SOLAR_RADIATION_VAR_06,,,,,,
90,WEATHER_DIRECT_SOLAR_RADIATION_VAR_07,WEATHER_DIRECT_SOLAR_RADIATION_VAR_07,,,,,,
91,WEATHER_DIRECT_SOLAR_RADIATION_VAR_08,WEATHER_DIRECT_SOLAR_RADIATION_VAR_08,,,,,,
92,WEATHER_DIRECT_SOLAR_RADIATION_VAR_09,WEATHER_DIRECT_SOLAR_RADIATION_VAR_09,,,,,,
93,WEATHER_DIRECT_SOLAR_RADIATION_VAR_10,WEATHER_DIRECT_SOLAR_RADIATION_VAR_10,,,,,,
94,WEATHER_DIRECT_SOLAR_RADIATION_VAR_11,WEATHER_DIRECT_SOLAR_RADIATION_VAR_11,,,,,,
95,WEATHER_DIRECT_SOLAR_RADIATION_VAR_12,WEATHER_DIRECT_SOLAR_RADIATION_VAR_12,,,,,,
96,WEATHER_DRYBULB_TEMPERATURE_AVG_01,WEATHER_DRYBULB_TEMPERATURE_AVG_01,,,,,,
97,WEATHER_DRYBULB_TEMPERATURE_AVG_02,WEATHER_DRYBULB_TEMPERATURE_AVG_02,,,,,,
98,WEATHER_DRYBULB_TEMPERATURE_AVG_03,WEATHER_DRYBULB_TEMPERATURE_AVG_03,,,,,,
99,WEATHER_DRYBULB_TEMPERATURE_AVG_04,WEATHER_DRYBULB_TEMPERATURE_AVG_04,,,,,,
100,WEATHER_DRYBULB_TEMPERATURE_AVG_05,WEATHER_DRYBULB_TEMPERATURE_AVG_05,,,,,,
101,WEATHER_DRYBULB_TEMPERATURE_AVG_06,WEATHER_DRYBULB_TEMPERATURE_AVG_06,,,,,,
102,WEATHER_DRYBULB_TEMPERATURE_AVG_07,WEATHER_DRYBULB_TEMPERATURE_AVG_07,,,,,,
103,WEATHER_DRYBULB_TEMPERATURE_AVG_08,WEATHER_DRYBULB_TEMPERATURE_AVG_08,,,,,,
104,WEATHER_DRYBULB_TEMPERATURE_AVG_09,WEATHER_DRYBULB_TEMPERATURE_AVG_09,,,,,,
105,WEATHER_DRYBULB_TEMPERATURE_AVG_10,WEATHER_DRYBULB_TEMPERATURE_AVG_10,,,,,,
106,WEATHER_DRYBULB_TEMPERATURE_AVG_11,WEATHER_DRYBULB_TEMPERATURE_AVG_11,,,,,,
107,WEATHER_DRYBULB_TEMPERATURE_AVG_12,WEATHER_DRYBULB_TEMPERATURE_AVG_12,,,,,,
108,WEATHER_DRYBULB_TEMPERATURE_MAX_01,WEATHER_DRYBULB_TEMPERATURE_MAX_01,,,,,,
109,WEATHER_DRYBULB_TEMPERATURE_MAX_02,WEATHER_DRYBULB_TEMPERATURE_MAX_02,,,,,,
110,WEATHER_DRYBULB_TEMPERATURE_MAX_03,WEATHER_DRYBULB_TEMPERATURE_MAX_03,,,,,,
111,WEATHER_DRYBULB_TEMPERATURE_MAX_04,WEATHER_DRYBULB_TEMPERATURE_MAX_04,,,,,,
112,WEATHER_DRYBULB_TEMPERATURE_MAX_05,WEATHER_DRYBULB_TEMPERATURE_MAX_05,,,,,,
113,WEATHER_DRYBULB_TEMPERATURE_MAX_06,WEATHER_DRYBULB_TEMPERATURE_MAX_06,,,,,,
114,WEATHER_DRYBULB_TEMPERATURE_MAX_07,WEATHER_DRYBULB_TEMPERATURE_MAX_07,,,,,,
115,WEATHER_DRYBULB_TEMPERATURE_MAX_08,WEATHER_DRYBULB_TEMPERATURE_MAX_08,,,,,,
116,WEATHER_DRYBULB_TEMPERATURE_MAX_09,WEATHER_DRYBULB_TEMPERATURE_MAX_09,,,,,,
117,WEATHER_DRYBULB_TEMPERATURE_MAX_10,WEATHER_DRYBULB_TEMPERATURE_MAX_10,,,,,,
118,WEATHER_DRYBULB_TEMPERATURE_MAX_11,WEATHER_DRYBULB_TEMPERATURE_MAX_11,,,,,,
119,WEATHER_DRYBULB_TEMPERATURE_MAX_12,WEATHER_DRYBULB_TEMPERATURE_MAX_12,,,,,,
120,WEATHER_DRYBULB_TEMPERATURE_MIN_01,WEATHER_DRYBULB_TEMPERATURE_MIN_01,,,,,,
121,WEATHER_DRYBULB_TEMPERATURE_MIN_02,WEATHER_DRYBULB_TEMPERATURE_MIN_02,,,,,,
122,WEATHER_DRYBULB_TEMPERATURE_MIN_03,WEATHER_DRYBULB_TEMPERATURE_MIN_03,,,,,,
123,WEATHER_DRYBULB_TEMPERATURE_MIN_04,WEATHER_DRYBULB_TEMPERATURE_MIN_04,,,,,,
124,WEATHER_DRYBULB_TEMPERATURE_MIN_05,WEATHER_DRYBULB_TEMPERATURE_MIN_05,,,,,,
125,WEATHER_DRYBULB_TEMPERATURE_MIN_06,WEATHER_DRYBULB_TEMPERATURE_MIN_06,,,,,,
126,WEATHER_DRYBULB_TEMPERATURE_MIN_07,WEATHER_DRYBULB_TEMPERATURE_MIN_07,,,,,,
127,WEATHER_DRYBULB_TEMPERATURE_MIN_08,WEATHER_DRYBULB_TEMPERATURE_MIN_08,,,,,,
128,WEATHER_DRYBULB_TEMPERATURE_MIN_09,WEATHER_DRYBULB_TEMPERATURE_MIN_09,,,,,,
129,WEATHER_DRYBULB_TEMPERATURE_MIN_10,WEATHER_DRYBULB_TEMPERATURE_MIN_10,,,,,,
130,WEATHER_DRYBULB_TEMPERATURE_MIN_11,WEATHER_DRYBULB_TEMPERATURE_MIN_11,,,,,,
131,WEATHER_DRYBULB_TEMPERATURE_MIN_12,WEATHER_DRYBULB_TEMPERATURE_MIN_12,,,,,,
132,WEATHER_DRYBULB_TEMPERATURE_VAR_01,WEATHER_DRYBULB_TEMPERATURE_VAR_01,,,,,,
133,WEATHER_DRYBULB_TEMPERATURE_VAR_02,WEATHER_DRYBULB_TEMPERATURE_VAR_02,,,,,,
134,WEATHER_DRYBULB_TEMPERATURE_VAR_03,WEATHER_DRYBULB_TEMPERATURE_VAR_03,,,,,,
135,WEATHER_DRYBULB_TEMPERATURE_VAR_04,WEATHER_DRYBULB_TEMPERATURE_VAR_04,,,,,,
136,WEATHER_DRYBULB_TEMPERATURE_VAR_05,WEATHER_DRYBULB_TEMPERATURE_VAR_05,,,,,,
137,WEATHER_DRYBULB_TEMPERATURE_VAR_06,WEATHER_DRYBULB_TEMPERATURE_VAR_06,,,,,,
138,WEATHER_DRYBULB_TEMPERATURE_VAR_07,WEATHER_DRYBULB_TEMPERATURE_VAR_07,,,,,,
139,WEATHER_DRYBULB_TEMPERATURE_VAR_08,WEATHER_DRYBULB_TEMPERATURE_VAR_08,,,,,,
140,WEATHER_DRYBULB_TEMPERATURE_VAR_09,WEATHER_DRYBULB_TEMPERATURE_VAR_09,,,,,,
141,WEATHER_DRYBULB_TEMPERATURE_VAR_10,WEATHER_DRYBULB_TEMPERATURE_VAR_10,,,,,,
142,WEATHER_DRYBULB_TEMPERATURE_VAR_11,WEATHER_DRYBULB_TEMPERATURE_VAR_11,,,,,,
143,WEATHER_DRYBULB_TEMPERATURE_VAR_12,WEATHER_DRYBULB_TEMPERATURE_VAR_12,,,,,,
144,WEATHER_RELATIVE_HUMIDITY_AVG_01,WEATHER_RELATIVE_HUMIDITY_AVG_01,,,,,,
145,WEATHER_RELATIVE_HUMIDITY_AVG_02,WEATHER_RELATIVE_HUMIDITY_AVG_02,,,,,,
146,WEATHER_RELATIVE_HUMIDITY_AVG_03,WEATHER_RELATIVE_HUMIDITY_AVG_03,,,,,,
147,WEATHER_RELATIVE_HUMIDITY_AVG_04,WEATHER_RELATIVE_HUMIDITY_AVG_04,,,,,,
148,WEATHER_RELATIVE_HUMIDITY_AVG_05,WEATHER_RELATIVE_HUMIDITY_AVG_05,,,,,,
149,WEATHER_RELATIVE_HUMIDITY_AVG_06,WEATHER_RELATIVE_HUMIDITY_AVG_06,,,,,,
150,WEATHER_RELATIVE_HUMIDITY_AVG_07,WEATHER_RELATIVE_HUMIDITY_AVG_07,,,,,,
151,WEATHER_RELATIVE_HUMIDITY_AVG_08,WEATHER_RELATIVE_HUMIDITY_AVG_08,,,,,,
152,WEATHER_RELATIVE_HUMIDITY_AVG_09,WEATHER_RELATIVE_HUMIDITY_AVG_09,,,,,,
153,WEATHER_RELATIVE_HUMIDITY_AVG_10,WEATHER_RELATIVE_HUMIDITY_AVG_10,,,,,,
154,WEATHER_RELATIVE_HUMIDITY_AVG_11,WEATHER_RELATIVE_HUMIDITY_AVG_11,,,,,,
155,WEATHER_RELATIVE_HUMIDITY_AVG_12,WEATHER_RELATIVE_HUMIDITY_AVG_12,,,,,,
156,WEATHER_RELATIVE_HUMIDITY_MAX_01,WEATHER_RELATIVE_HUMIDITY_MAX_01,,,,,,
157,WEATHER_RELATIVE_HUMIDITY_MAX_02,WEATHER_RELATIVE_HUMIDITY_MAX_02,,,,,,
158,WEATHER_RELATIVE_HUMIDITY_MAX_03,WEATHER_RELATIVE_HUMIDITY_MAX_03,,,,,,
159,WEATHER_RELATIVE_HUMIDITY_MAX_04,WEATHER_RELATIVE_HUMIDITY_MAX_04,,,,,,
160,WEATHER_RELATIVE_HUMIDITY_MAX_05,WEATHER_RELATIVE_HUMIDITY_MAX_05,,,,,,
161,WEATHER_RELATIVE_HUMIDITY_MAX_06,WEATHER_RELATIVE_HUMIDITY_MAX_06,,,,,,
162,WEATHER_RELATIVE_HUMIDITY_MAX_07,WEATHER_RELATIVE_HUMIDITY_MAX_07,,,,,,
163,WEATHER_RELATIVE_HUMIDITY_MAX_08,WEATHER_RELATIVE_HUMIDITY_MAX_08,,,,,,
164,WEATHER_RELATIVE_HUMIDITY_MAX_09,WEATHER_RELATIVE_HUMIDITY_MAX_09,,,,,,
165,WEATHER_RELATIVE_HUMIDITY_MAX_10,WEATHER_RELATIVE_HUMIDITY_MAX_10,,,,,,
166,WEATHER_RELATIVE_HUMIDITY_MAX_11,WEATHER_RELATIVE_HUMIDITY_MAX_11,,,,,,
167,WEATHER_RELATIVE_HUMIDITY_MAX_12,WEATHER_RELATIVE_HUMIDITY_MAX_12,,,,,,
168,WEATHER_RELATIVE_HUMIDITY_MIN_01,WEATHER_RELATIVE_HUMIDITY_MIN_01,,,,,,
169,WEATHER_RELATIVE_HUMIDITY_MIN_02,WEATHER_RELATIVE_HUMIDITY_MIN_02,,,,,,
170,WEATHER_RELATIVE_HUMIDITY_MIN_03,WEATHER_RELATIVE_HUMIDITY_MIN_03,,,,,,
171,WEATHER_RELATIVE_HUMIDITY_MIN_04,WEATHER_RELATIVE_HUMIDITY_MIN_04,,,,,,
172,WEATHER_RELATIVE_HUMIDITY_MIN_05,WEATHER_RELATIVE_HUMIDITY_MIN_05,,,,,,
173,WEATHER_RELATIVE_HUMIDITY_MIN_06,WEATHER_RELATIVE_HUMIDITY_MIN_06,,,,,,
174,WEATHER_RELATIVE_HUMIDITY_MIN_07,WEATHER_RELATIVE_HUMIDITY_MIN_07,,,,,,
175,WEATHER_RELATIVE_HUMIDITY_MIN_08,WEATHER_RELATIVE_HUMIDITY_MIN_08,,,,,,
176,WEATHER_RELATIVE_HUMIDITY_MIN_09,WEATHER_RELATIVE_HUMIDITY_MIN_09,,,,,,
177,WEATHER_RELATIVE_HUMIDITY_MIN_10,WEATHER_RELATIVE_HUMIDITY_MIN_10,,,,,,
178,WEATHER_RELATIVE_HUMIDITY_MIN_11,WEATHER_RELATIVE_HUMIDITY_MIN_11,,,,,,
179,WEATHER_RELATIVE_HUMIDITY_MIN_12,WEATHER_RELATIVE_HUMIDITY_MIN_12,,,,,,
180,WEATHER_RELATIVE_HUMIDITY_VAR_01,WEATHER_RELATIVE_HUMIDITY_VAR_01,,,,,,
181,WEATHER_RELATIVE_HUMIDITY_VAR_02,WEATHER_RELATIVE_HUMIDITY_VAR_02,,,,,,
182,WEATHER_RELATIVE_HUMIDITY_VAR_03,WEATHER_RELATIVE_HUMIDITY_VAR_03,,,,,,
183,WEATHER_RELATIVE_HUMIDITY_VAR_04,WEATHER_RELATIVE_HUMIDITY_VAR_04,,,,,,
184,WEATHER_RELATIVE_HUMIDITY_VAR_05,WEATHER_RELATIVE_HUMIDITY_VAR_05,,,,,,
185,WEATHER_RELATIVE_HUMIDITY_VAR_06,WEATHER_RELATIVE_HUMIDITY_VAR_06,,,,,,
186,WEATHER_RELATIVE_HUMIDITY_VAR_07,WEATHER_RELATIVE_HUMIDITY_VAR_07,,,,,,
187,WEATHER_RELATIVE_HUMIDITY_VAR_08,WEATHER_RELATIVE_HUMIDITY_VAR_08,,,,,,
188,WEATHER_RELATIVE_HUMIDITY_VAR_09,WEATHER_RELATIVE_HUMIDITY_VAR_09,,,,,,
189,WEATHER_RELATIVE_HUMIDITY_VAR_10,WEATHER_RELATIVE_HUMIDITY_VAR_10,,,,,,
190,WEATHER_RELATIVE_HUMIDITY_VAR_11,WEATHER_RELATIVE_HUMIDITY_VAR_11,,,,,,
191,WEATHER_RELATIVE_HUMIDITY_VAR_12,WEATHER_RELATIVE_HUMIDITY_VAR_12,,,,,,
192,WEATHER_WETBULB_TEMPERATURE_AVG_01,WEATHER_WETBULB_TEMPERATURE_AVG_01,,,,,,
193,WEATHER_WETBULB_TEMPERATURE_AVG_02,WEATHER_WETBULB_TEMPERATURE_AVG_02,,,,,,
194,WEATHER_WETBULB_TEMPERATURE_AVG_03,WEATHER_WETBULB_TEMPERATURE_AVG_03,,,,,,
195,WEATHER_WETBULB_TEMPERATURE_AVG_04,WEATHER_WETBULB_TEMPERATURE_AVG_04,,,,,,
196,WEATHER_WETBULB_TEMPERATURE_AVG_05,WEATHER_WETBULB_TEMPERATURE_AVG_05,,,,,,
197,WEATHER_WETBULB_TEMPERATURE_AVG_06,WEATHER_WETBULB_TEMPERATURE_AVG_06,,,,,,
198,WEATHER_WETBULB_TEMPERATURE_AVG_07,WEATHER_WETBULB_TEMPERATURE_AVG_07,,,,,,
199,WEATHER_WETBULB_TEMPERATURE_AVG_08,WEATHER_WETBULB_TEMPERATURE_AVG_08,,,,,,
200,WEATHER_WETBULB_TEMPERATURE_AVG_09,WEATHER_WETBULB_TEMPERATURE_AVG_09,,,,,,
201,WEATHER_WETBULB_TEMPERATURE_AVG_10,WEATHER_WETBULB_TEMPERATURE_AVG_10,,,,,,
202,WEATHER_WETBULB_TEMPERATURE_AVG_11,WEATHER_WETBULB_TEMPERATURE_AVG_11,,,,,,
203,WEATHER_WETBULB_TEMPERATURE_AVG_12,WEATHER_WETBULB_TEMPERATURE_AVG_12,,,,,,
204,WEATHER_WETBULB_TEMPERATURE_MAX_01,WEATHER_WETBULB_TEMPERATURE_MAX_01,,,,,,
205,WEATHER_WETBULB_TEMPERATURE_MAX_02,WEATHER_WETBULB_TEMPERATURE_MAX_02,,,,,,
206,WEATHER_WETBULB_TEMPERATURE_MAX_03,WEATHER_WETBULB_TEMPERATURE_MAX_03,,,,,,
207,WEATHER_WETBULB_TEMPERATURE_MAX_04,WEATHER_WETBULB_TEMPERATURE_MAX_04,,,,,,
208,WEATHER_WETBULB_TEMPERATURE_MAX_05,WEATHER_WETBULB_TEMPERATURE_MAX_05,,,,,,
209,WEATHER_WETBULB_TEMPERATURE_MAX_06,WEATHER_WETBULB_TEMPERATURE_MAX_06,,,,,,
